Title|Company|County|Salary|Category|JobDescription|Experience|Education|Major|Language|Skills|Others|Url
['金融產業', '系統分析設計師']|['宏燁資訊股份有限公司']|台北市|['待遇面議', '4 萬元']|['系統分析師 ', '軟體設計工程師 ']|"1. 負責金融、銀行、財務相關系統分析設計之工作。
2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3. 參與敏捷開發團隊 開發、測試等相關問題對策及指導。
4. 具備系統開發經驗優先錄取。
5. 熟悉關聯式資料庫設計。
"|['4年以上']|['專科', '大學', '碩士']|['不拘']|['不拘']|['不拘']|未填寫|https://www.104.com.tw/job/755cj?jobsource=jolist_c_relevance
['場分析暨業務推廣人員', '專案事業部']|['國泰綜合證券股份有限']|||['金融研究員 ', '財務分析', '財務人員 ']|"1.對潛力產業進行產業研究，包括產業鏈及產品說明、趨勢分析、主要競爭者比較及分析
2.對潛在客戶進行個別公司研究，以協助業務人員從中發掘SPO商機
3.協助承銷業務同仁開發及爭取IPO/SPO

※為招攬菁英人才，面試流程如下：
step1、請先投遞104人力銀行上之此職缺
step2、符合資格者，將邀請您至【國泰證券招募官網https://recruit.cathayholdings.com/】登錄履歷
"|||||||https://www.104.com.tw/job/7ibx7?jobsource=jolist_c_relevance
['投顧', '投資分析人員']|['群益金鼎證券股份有限']|||['金融研究員 ']|"1.台股與全球市場分析
2.重點公司投資分析與操作建議"|||||||https://www.104.com.tw/job/6o3zf?jobsource=jolist_d_relevance
['金融科技', '資料工程師', '經驗行員', '玉山銀行']|['玉山商業銀行股份有限公司']|台北市|['待遇面議', '4 萬元']|['軟體設計工程師 ', '資料庫管理人員 ', '其他資訊專業人員 ']|"1. 協助建立結構化及非結構化資料庫及其資料分析應用工具
2. 負責資料蒐集及處理各項數據、資料建模、Data Pipeline流程設計，並經梳理後產出使用
3. 運用平行處理架構設計高效處理與運用巨量資料
4. 負責資料品質之管理及監控，資料反饋及優化之相關機制

104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https://esnhr.pse.is/394b2n 】 "|['2年以上']|['大學', '碩士']|['資訊管理相關', '數學及電算機科學學']|['不拘']|['Java', 'Python', 'hadoop']|"1. 具備程式語言及開發背景
2. 具備Data Pipeline概念，並具備基本Machine Learning 相關知識
3. 具備SQL及Linux Shell之技術，熟悉Python/JAVA等
4. 具操作過大型資料集(1TB以上)、Hadoop Ecosystem 或Spark 平行化處理之經驗者尤佳"|https://www.104.com.tw/job/775ql?jobsource=jolist_c_relevance
['金融科技', '資安分析師', '經驗行員', '玉山銀行']|['玉山商業銀行股份有限公司']|台北市|['待遇面議', '4 萬元']|['其他資訊專業人員 ', '網路安全分析師 ', '軟體設計工程師 ']|"1.資安設備維護與操作
2.資訊安全威脅偵測與趨勢研究
3.資訊安全監控中心(SOC)監控規則研發與設計
4.資訊安全事件通報、應變與處理
5.資安系統架構規劃與實作
6.入侵與攻擊模擬(BAS)規劃與實作

104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https://esnhr.pse.is/394b2n】 "|['3年以上']|['大學', '碩士']|['資訊管理相關', '數學及電算機科學學']|['不拘']|['不拘']|"1.熟悉系統、網路及應用程式攻擊與防護手法
2.熟悉Java或Python
3.具Splunk、EFK/ELK開發經驗者佳
*【資安人才特輯】專案計畫－資安服務提供人才招募
*【資安人才特輯】專案計畫－資安技術支援人才招募"|https://www.104.com.tw/job/775f8?jobsource=jolist_c_relevance
['資深資料工程師', 'Sr.', 'Data', 'R&D', 'Engineer', '台中', '數據技術發展', '數數發中心,', 'DDT']|['國泰金控', '國泰金融控股股份有限公司']|台中市|['待遇面議', '4 萬元']|['軟體設計工程師 ', '演算法開發工程師 ', '資料庫管理人員 ']|"[工作內容]
資深資料工程師職務可能包含但不限如下相關內容：
1.分散式結構/半結構/非結構資料 ETL：使用 Kafka、Spark、Docker、Elasticsearch 以及雲端或其他 opensource 環境來進行開發
2.大量且彈性的 data pipeline 的設計與開發
3.與資料科學家合作，協助業務團隊解決商業命題：進行機器學習、深度學習、模型服務與統計分析模型最佳化自動化的研究與開發
4.產品開發、專案開發、以及相關的推廣與後續維護

我們 台中 數據技術發展小組（Data Science & Technology）正在尋找資深資料工程菁英，歡迎在資料的領域具備深度與廣度的朋友來挑戰。這個職位將負責資料工程相關的創新技術研究、概念性驗證與程式的開發，依照個人技術能力與發展安排。


[我們的團隊介紹與文化特色]

- 我們是集團於中部研發中心的資料科學團隊，特別針對中部的資料科學人才好手提供優質的新創研發環境

- 有實驗室的理論研究精神，也有業界專業務實落地的應用

- 從各個產業的生活化資料上，使用高度自動化的人工智慧與資料科學技術，讓客戶體驗最佳化

- 從專案的開發來接地氣，從新技術的研究來保持創新，從產品的發展來規模化

- 擁抱雲端技術，更重視開放的資料技術

- 重視由下往上的團隊溝通，在自律的前提下享受自由的研發風氣

- 重視團隊與個人在創新與技術深入成長的平衡發展

- 在技術研究目標上，採有彈性的團隊模式規範，讓創新與成果導向可以並重平衡

- 開放與分享是我們的基因，要有主動挖掘問題、主動解決問題的能力，也要有主動分享、傳承學習並追求進步的特質條件

- 進步快速的團隊，能夠因應組織任務需求來調整工作內容"|['5年以上']|['大學以上']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['Linux', 'Git', 'Python']|"[必要條件]

- 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享的態度

- 具 Python 軟體開發經驗，並熟悉相關 IDE 開發環境運用

- 熟悉 SQL 的使用與概念

- 熟悉 Linux 系統開發環境

- 熟悉 Git 版控機制

- 對 Spark 架構有概念，並有 Spark 相關應用開發經驗，如：基於 Dataframe、Structured Streaming、MLlib 或是 GraphFrames 的開發

- 對 AWS、GCP 或 Azure 的資料服務架構有基本概念

- 對任一 Python Web Server framework 有經驗，如：Flask、Django 或其他

- 習慣 DevOPS 文化或熟悉 SRE 者，如：CICD、自動化測試環境工具、壓力測試與評估、自動化監控與效能調教

- 熟悉 Docker 的使用經驗者

- 喜歡 OpenSource 的生態，並有實際資料的應用專案或產品的開發與落地經驗成果者

- 熟悉網路通訊相關協定與應用，如：TCP/IP、Routing、DNS、HTTP、Web Services、Web Services Security


[加分條件（非必要）]

- 具備軟體產品開發經驗

- 具 Scala 軟體開發經驗，並熟悉相關 IDE 開發環境運用

- 熟悉或有大量資料處理的 Opensource 經驗者，如 Spark、Hadoop、Hive、Kafka、Elasticsearch、MongoDB、Radis 或是其他相關生態系服務

- 熟悉或有微服務及 API 經驗者，如：Ngnix、Flask、Kubernetes、Openshift

- 熟悉或有機器學習的預測模型或開發服務的經驗者，如：TensorFlow、Pytorch、Kubeflow

- 有網路爬蟲設計與開發經驗者

- 有區塊鏈的概念或實際相關開發經驗者

- 具備基礎資料分析概念

- 具備圖學資料處理經驗

- 具備基本機器學習或深度學習相關知識

- 熟悉 Scrum 等敏捷式開發模式

- 善橫向跨部會溝通，表達能力佳

- 具專案管理能力"|https://www.104.com.tw/job/74lxc?jobsource=jolist_d_relevance
['研究發展組員']|['凱基期貨股份有限']||['35000']|['金融研究員 ']|"1.解盤、撰寫研究報告
2.開發交易策略
3.發展智能產品
4.擔任投資講座課程講師
"|['不拘']|['大學以上']|['財稅金融相關', '資訊工程相關', '數理']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']| 熟悉MultiCharts、具有VBA、Python等電腦程式語言能力 |https://www.104.com.tw/job/48rwl?jobsource=jolist_b_relevance
['支付金融', '風險分析人員', '經驗行員', '玉山銀行']|['玉山商業銀行股份有限公司']|新北市|['待遇面議', '4 萬元']|['統計精算人員 ', '金融研究員 ', '銀行辦事員 ']|"1.擬定信用卡及電子支付風險管理相關作業辦法及機制
2.信用風險之監控與分析
3.信用額度管理

104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https://hr.esunfhc.com/Recruitment/Home/Account?hrcontact&oneofour 】 "|['2年以上']|['大學', '碩士']|['不拘']|['不拘']|['不拘']|相關風險管理3年以上工作經驗者尤佳|https://www.104.com.tw/job/77l00?jobsource=jolist_d_relevance
['基金投資研究總部/基金經理人']|['兆豐國際證券投資信託股份有限公司']|台北市|['待遇面議', '4 萬元']|['金融研究員 ', '金融營業員 ', '金融交易員 ']|接任藍籌30ETF基金經理人。|['3年以上']|['大學', '碩士']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['Windows', 'Vista', 'Outlook']|"1.具備3年以上投資研究/交易資歷。
2.具投信投顧或證券商高級業務員證照。
3.具備基金經理人資格。
4.熟悉ETF發行、操作實務。"|https://www.104.com.tw/job/7kfbc?jobsource=jolist_d_relevance
['4S元富證券', '數位金融數據分析員']|['元富證券股份有限公司']|台北市|['35000']|['行銷企劃人員 ', '市場調查', '市場分析 ', '網站行銷企劃 ']|"1.針對結構、非結構化數據資料，提出分析報告，以提供業務單位推動相關策略。
2.定期透過客戶行為模式、行銷活動、系統操作流程，找出精準及潛在客戶，以提升行銷推廣之效益。
3.能獨立完成主管交辦事項。"|['1年以上']|['大學']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"有相關經驗者，薪資可面議。
1.熟SQL、Tableau、SAS為佳。
2.具備統計分析能力。
3.有金融業經驗佳。
4.個性積極正向。"|https://www.104.com.tw/job/7ciki?jobsource=jolist_a_relevance
['創投分析師']|['瀚盛國際股份有限公司']|台北市|['45000', '50000']|['金融研究員 ', '金融理財專員 ', '財務分析', '財務人員 ']|"1. 創業投資案源開發、評估及執行。
2. 投資後管理、企業經營分析與診斷 。
3. 產業研究與趨勢分析 。 
4. 投資處分與交易規劃。"|['2年以上']|['碩士']|['財稅金融相關']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"1. 具投資或產業分析相關工作經驗3年以上。
2. 熟悉投資案規劃流程、評估與財務模型建置。
3. 具開發案源能力與產業人脈者尤佳。
4. 有獨立作業能力並具有團隊合作精神。"|https://www.104.com.tw/job/7j4q6?jobsource=jolist_a_relevance
['金融科技', '機器學習研究員', 'Machine', 'Learning', 'Reseacher', '經驗行員', '玉山銀行']|['玉山商業銀行股份有限公司']|台北市|['待遇面議', '4 萬元']|['軟體設計工程師 ', '資料庫管理人員 ', '其他資訊專業人員 ']|"1. Understand application problems and issues to convert these insights into research requirements
2. Develop innovative machine learning technology for applications in the field of computer vision, natural language processing, etc
3. Work with experienced software engineers to develop and implement solutions
4. Write clean and maintainable source code
5. Carry out novel research that gets published at conferences/journals


1. 了解業務問題，並轉換為研究主題
2. 開發先進的機器學習技術，特別是在電腦視覺和自然語言處理等領域
3. 與有經驗的軟體工程師共同開發實現解決方案
4. 寫出簡潔且易維護的程式碼
5. 將嶄新的研究成果發表至國際會議和期刊

104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https://esnhr.pse.is/394b2n】"|['不拘']|['碩士']|['資訊管理相關', '數學及電算機科學學']|['不拘']|['不拘']|"1. Master or PhD degree in AI-related fields (machine learning, natural language processing, computer vision, applied mathematics, etc.) or equivalent practical experience.
2. Expertise in deep learning frameworks such as PyTorch and/or TensorFlow. Hands-on experience with training deep learning models such as CNN, RNN, and/or Transformer
3. Understand latest AI research technology, excellent research capabilities
4. Excellent programming skills in Python
5. Good mathematical skills in calculus, linear algebra, probability and statistics
6. Good English reading and written skills
7. Strong communication abilities and willingness to inspire other engineers
8. (Optional) Have publications in top-tier academic associations / conferences in the field of AI (NeurlPS, ICML, ICLR, CVPR, ACL, EMNLP, ICCV, AAAI, IJCAI, KDD, etc.)


1. AI相關領域之碩士或博士，例如：機器學習、自然語言處理、電腦視覺、應用數學等，或同等實際經驗
2. 熟悉深度學習框架，例如：PyTorch、TensorFlow。有實作過深度學習的方法，例如：CNN、RNN、Transformer
3. 了解AI研究最新技術，傑出的研究能力
4. 傑出的Python撰寫能力
5. 好的數學能力，包含：微積分、線性代數、機率、統計
6. 好的英文讀寫能力
7. 好的溝通能力，得以激勵其他工程師
8. (Optional) 有在top-tier的AI學術會議發表過作品，包括：NeurlPS, ICML, ICLR, CVPR, ACL, EMNLP, ICCV, AAAI, IJCAI, KDD, 等等"|https://www.104.com.tw/job/7l5se?jobsource=jolist_c_relevance
